accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,comments,OUTCOME,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,,
SALK_012281C,RAND_BIN_LINE,,CofC,NGH,SF,3,157,CofC_SF03_0157,5,H,1,N,,,,DNG,Y,SF06,,,
SALK_008775C,RAND_BIN_LINE,,CofC,NGH,SF,3,159,CofC_SF03_0159,5,H,3,N,,,,DNG,Y,SF05,,,
SALK_009384C,RAND_BIN_LINE,,CofC,NGH,SF,3,160,CofC_SF03_0160,5,H,4,Y,24,8/29/2012,,,,,,,
SALK_008646C,RAND_BIN_LINE,,CofC,NGH,SF,3,162,CofC_SF03_0162,6,A,2,N,,,,DNG,Y,SF05,,,
SALK_008944C,RAND_BIN_LINE,,CofC,NGH,SF,3,163,CofC_SF03_0163,6,A,3,Y,45,8/29/2012,,,,,,,
SALK_011420C,RAND_BIN_LINE,,CofC,NGH,SF,3,164,CofC_SF03_0164,6,A,4,N,,8/27/2012,No fruit collected, why tissue collected?,DNG,Y,SF05,*Refarm incase seed contamination, already refarmed in SF05
SALK_010153C,RAND_BIN_LINE,,CofC,NGH,SF,3,166,CofC_SF03_0166,6,B,2,Y,39,8/7/2012,,,,,,,
SALK_010569C,RAND_BIN_LINE,,CofC,NGH,SF,3,168,CofC_SF03_0168,6,B,4,N,,,,DNG,Y,SF06,,,
SALK_008061C,RAND_BIN_LINE,,CofC,NGH,SF,3,169,CofC_SF03_0169,6,C,1,Y,37,8/27/2012,,,,,,,
SALK_009366C,RAND_BIN_LINE,,CofC,NGH,SF,3,173,CofC_SF03_0173,6,D,1,Y,21,8/28/2012,,,,,,,
SALK_009185C,RAND_BIN_LINE,,CofC,NGH,SF,3,176,CofC_SF03_0176,6,D,4,Y,52,8/28/2012,,,,,,,
SALK_008319C,RAND_BIN_LINE,,CofC,NGH,SF,3,177,CofC_SF03_0177,6,E,1,N,,,,DNG,Y,SF05,,,
SALK_010911C,RAND_BIN_LINE,,CofC,NGH,SF,3,178,CofC_SF03_0178,6,E,2,N,,,,DNG,Y,SF05,,,
SALK_012466C,RAND_BIN_LINE,,CofC,NGH,SF,3,180,CofC_SF03_0180,6,E,4,Y,44,8/7/2012,,,,,,,
SALK_008433C,RAND_BIN_LINE,,CofC,NGH,SF,3,181,CofC_SF03_0181,6,F,1,N,,,,DNG,Y,SF05,,,
SALK_010061C,RAND_BIN_LINE,,CofC,NGH,SF,3,188,CofC_SF03_0188,6,G,4,Y,57,8/28/2012,,,,,,,
SALK_008497C,RAND_BIN_LINE,,CofC,NGH,SF,3,189,CofC_SF03_0189,6,H,1,Y,31,8/7/2012,,,,,,,
SALK_009003C,RAND_BIN_LINE,,CofC,NGH,SF,3,190,CofC_SF03_0190,6,H,2,N,,,,DNG,Y,SF05,,,
SALK_012211C,RAND_BIN_LINE,,CofC,NGH,SF,3,191,CofC_SF03_0191,6,H,3,N,,,,DNG,Y,SF05,,,
SALK_011991C,RAND_BIN_LINE,,CofC,NGH,SF,3,192,CofC_SF03_0192,6,H,4,N,,,,DNG,Y,SF05,,,
SALK_008995C,RAND_BIN_LINE,,CofC,NGH,SF,3,194,CofC_SF03_0194,7,A,2,N,,,,DNG,Y,SF05,,,
SALK_011516C,RAND_BIN_LINE,,CofC,NGH,SF,3,195,CofC_SF03_0195,7,A,3,Y,23,8/27/2012,,,,,,,
SALK_010803C,RAND_BIN_LINE,,CofC,NGH,SF,3,196,CofC_SF03_0196,7,A,4,N,,,,DNG,Y,SF05,,,
SALK_008708C,RAND_BIN_LINE,,CofC,NGH,SF,3,198,CofC_SF03_0198,7,B,2,N,,,,DNG,Y,SF05,,,
SALK_012655C,RAND_BIN_LINE,,CofC,NGH,SF,3,202,CofC_SF03_0202,7,C,2,Y,21,8/28/2012,,,,,,,
SALK_009967C,RAND_BIN_LINE,,CofC,NGH,SF,3,203,CofC_SF03_0203,7,C,3,N,,,,DNG,Y,SF06,,,
SALK_010898C,RAND_BIN_LINE,,CofC,NGH,SF,3,208,CofC_SF03_0208,7,D,4,N,,,,DNG,Y,SF05,,,
SALK_009495C,RAND_BIN_LINE,,CofC,NGH,SF,3,209,CofC_SF03_0209,7,E,1,N,,,,DNG,Y,SF05,,,
SALK_012739C,RAND_BIN_LINE,,CofC,NGH,SF,3,215,CofC_SF03_0215,7,F,3,Y,,,Many plants in pot,UNKNOWN,Y,SF07,,,
SALK_009315C,RAND_BIN_LINE,,CofC,NGH,SF,3,218,CofC_SF03_0218,7,G,2,N,20,8/27/2012,No germ data, fruits collected?,DNG,Y,SF07,Refarm incase plant result of seed contamination,
SALK_008634C,RAND_BIN_LINE,,CofC,NGH,SF,3,220,CofC_SF03_0220,7,G,4,Y,20,8/28/2012,,,,,,,
SALK_008088C,RAND_BIN_LINE,,CofC,NGH,SF,3,221,CofC_SF03_0221,7,H,1,N,,,,DNG,Y,SF05,,,
SALK_009512C,RAND_BIN_LINE,,CofC,NGH,SF,3,224,CofC_SF03_0224,7,H,4,N,,,,DNG,Y,SF05,,,
SALK_011937C,RAND_BIN_LINE,,CofC,NGH,SF,3,226,CofC_SF03_0226,8,A,2,N,,,,DNG,Y,SF05,,,
SALK_009846C,RAND_BIN_LINE,,CofC,NGH,SF,3,227,CofC_SF03_0227,8,A,3,Y,25,8/30/2012,,,,,,,
SALK_008996C,RAND_BIN_LINE,,CofC,NGH,SF,3,229,CofC_SF03_0229,8,B,1,N,,,,DNG,Y,SF05,,,
SALK_009800C,RAND_BIN_LINE,,CofC,NGH,SF,3,231,CofC_SF03_0231,8,B,3,N,,,,DNG,Y,SF05,,,
SALK_012485C,RAND_BIN_LINE,,CofC,NGH,SF,3,234,CofC_SF03_0234,8,C,2,N,,,,DNG,Y,SF06,,,
SALK_010574C,RAND_BIN_LINE,,CofC,NGH,SF,3,235,CofC_SF03_0235,8,C,3,Y,64,8/30/2012,,,,,,,
SALK_010667C,RAND_BIN_LINE,,CofC,NGH,SF,3,236,CofC_SF03_0236,8,C,4,Y,22,8/30/2012,,,,,,,
SALK_011633C,RAND_BIN_LINE,,CofC,NGH,SF,3,237,CofC_SF03_0237,8,D,1,Y,21,8/30/2012,,,,SF05,Not sure why these were selected for refarming - made sufficient fruits,,
SALK_008757C,RAND_BIN_LINE,,CofC,NGH,SF,3,239,CofC_SF03_0239,8,D,3,N,,,,DNG,Y,SF05,,,
SALK_011892C,RAND_BIN_LINE,,CofC,NGH,SF,3,244,CofC_SF03_0244,8,E,4,N,,,,DNG,Y,SF05,,,
SALK_007658C,RAND_BIN_LINE,,CofC,NGH,SF,3,248,CofC_SF03_0248,8,F,4,Y,24,8/30/2012,,,,,,,
SALK_007305C,RAND_BIN_LINE,,CofC,NGH,SF,3,249,CofC_SF03_0249,8,G,1,N,,,,DNG,Y,SF05,,,
SALK_008223C,RAND_BIN_LINE,,CofC,NGH,SF,3,250,CofC_SF03_0250,8,G,2,N,,,,DNG,Y,SF05,,,
SALK_010077C,RAND_BIN_LINE,,CofC,NGH,SF,3,252,CofC_SF03_0252,8,G,4,Y,25,8/30/2012,,,,,,,
SALK_011296C,RAND_BIN_LINE,,CofC,NGH,SF,3,253,CofC_SF03_0253,8,H,1,Y,24,8/30/2012,,,,,,,
SALK_008458C,RAND_BIN_LINE,,CofC,NGH,SF,3,254,CofC_SF03_0254,8,H,2,N,,,,DNG,Y,SF05,,,
SALK_010462C,RAND_BIN_LINE,,CofC,NGH,SF,3,256,CofC_SF03_0256,8,H,4,N,,,,DNG,Y,SF06,,,
SALK_007576C,RAND_BIN_LINE,,CofC,NGH,SF,3,258,CofC_SF03_0258,9,A,2,Y,25,8/30/2012,,,,,,,
SALK_010311C,RAND_BIN_LINE,,CofC,NGH,SF,3,260,CofC_SF03_0260,9,A,4,N,,,,DNG,Y,SF06,,,
SALK_012626C,RAND_BIN_LINE,,CofC,NGH,SF,3,261,CofC_SF03_0261,9,B,1,N,,,,DNG,Y,SF06,,,
SALK_010765C,RAND_BIN_LINE,,CofC,NGH,SF,3,264,CofC_SF03_0264,9,B,4,N,,,,DNG,Y,SF05,,,
SALK_008125C,RAND_BIN_LINE,,CofC,NGH,SF,3,265,CofC_SF03_0265,9,C,1,N,,,,DNG,Y,SF05,,,
SALK_008335C,RAND_BIN_LINE,,CofC,NGH,SF,3,271,CofC_SF03_0271,9,D,3,N,,,,DNG,Y,SF05,,,
SALK_010122C,RAND_BIN_LINE,,CofC,NGH,SF,3,274,CofC_SF03_0274,9,E,2,N,,,,DNG,Y,SF06,,,
SALK_010216C,RAND_BIN_LINE,,CofC,NGH,SF,3,275,CofC_SF03_0275,9,E,3,Y,23,8/30/2012,,,,,,,
SALK_008099C,RAND_BIN_LINE,,CofC,NGH,SF,3,276,CofC_SF03_0276,9,E,4,N,,,,DNG,Y,SF05,,,
SALK_011005C,RAND_BIN_LINE,,CofC,NGH,SF,3,280,CofC_SF03_0280,9,F,4,Y,25,8/30/2012,,,,,,,
SALK_012170C,RAND_BIN_LINE,,CofC,NGH,SF,3,281,CofC_SF03_0281,9,G,1,Y,24,8/30/2012,,,,,,,
SALK_009521C,RAND_BIN_LINE,,CofC,NGH,SF,3,282,CofC_SF03_0282,9,G,2,Y,25,8/30/2012,,,,,,,
SALK_007942C,RAND_BIN_LINE,,CofC,NGH,SF,3,283,CofC_SF03_0283,9,G,3,Y,28,8/30/2012,,,,,,,
SALK_008247C,RAND_BIN_LINE,,CofC,NGH,SF,3,284,CofC_SF03_0284,9,G,4,N,,,,DNG,Y,SF05,,,
SALK_010499C,RAND_BIN_LINE,,CofC,NGH,SF,3,286,CofC_SF03_0286,9,H,2,Y,31,8/30/2012,,,,,,,
SALK_011139C,RAND_BIN_LINE,,CofC,NGH,SF,3,290,CofC_SF03_0290,10,A,2,N,,,,DNG,Y,SF05,,,
SALK_009687C,RAND_BIN_LINE,,CofC,NGH,SF,3,294,CofC_SF03_0294,10,B,2,Y,25,8/27/2012,,,,,,,
SALK_011875C,RAND_BIN_LINE,,CofC,NGH,SF,3,296,CofC_SF03_0296,10,B,4,Y,36,8/7/2012,,,,,,,
SALK_012605C,RAND_BIN_LINE,,CofC,NGH,SF,3,299,CofC_SF03_0299,10,C,3,N,,,,DNG,Y,SF06,,,
SALK_011537C,RAND_BIN_LINE,,CofC,NGH,SF,3,300,CofC_SF03_0300,10,C,4,Y,22,8/23/2012,,,,,,,
SALK_012695C,RAND_BIN_LINE,,CofC,NGH,SF,3,301,CofC_SF03_0301,10,D,1,Y,51,8/27/2012,,,,,,,
SALK_008201C,RAND_BIN_LINE,,CofC,NGH,SF,3,303,CofC_SF03_0303,10,D,3,N,,,,DNG,Y,SF05,,,
SALK_012273C,RAND_BIN_LINE,,CofC,NGH,SF,3,307,CofC_SF03_0307,10,E,3,N,,,,DNG,Y,SF06,,,
SALK_008567C,RAND_BIN_LINE,,CofC,NGH,SF,3,308,CofC_SF03_0308,10,E,4,Y,50,8/27/2012,,,,,,,
SALK_008535C,RAND_BIN_LINE,,CofC,NGH,SF,3,309,CofC_SF03_0309,10,F,1,Y,23,8/23/2012,,,,,,,
SALK_010232C,RAND_BIN_LINE,,CofC,NGH,SF,3,310,CofC_SF03_0310,10,F,2,N,,,,DNG,Y,SF06,,,
SALK_007815C,RAND_BIN_LINE,,CofC,NGH,SF,3,314,CofC_SF03_0314,10,G,2,N,,,,DNG,Y,SF05,,,
SALK_008945C,RAND_BIN_LINE,,CofC,NGH,SF,3,315,CofC_SF03_0315,10,G,3,Y,30,8/7/2012,,,,,,,
SALK_012376C,RAND_BIN_LINE,,CofC,NGH,SF,3,317,CofC_SF03_0317,10,H,1,Y,41,8/7/2012,,,,,,,
SALK_012377C,RAND_BIN_LINE,,CofC,NGH,SF,3,318,CofC_SF03_0318,10,H,2,Y,25,8/23/2012,,,,,,,
SALK_071328C,ROOT_LINE,,CofC,NGH,SF,3,31,CofC_SF03_0031,1,H,3,Y,,,,DIED,Y,SF07,,,
SALK_043342C,ROOT_LINE,,CofC,NGH,SF,3,158,CofC_SF03_0158,5,H,2,Y,,,,DIED,Y,SF05,,,
SALK_046157C,ROOT_LINE,,CofC,NGH,SF,3,212,CofC_SF03_0212,7,E,4,Y,,,,DIED,Y,SF05,,,
SALK_029203C,ROOT_LINE,,CofC,NGH,SF,3,232,CofC_SF03_0232,8,B,4,Y,,,,DIED,Y,SF05,,,
SALK_031635C,ROOT_LINE,,CofC,NGH,SF,3,245,CofC_SF03_0245,8,F,1,Y,,,,DIED,Y,SF05,,,
SALK_057798C,ROOT_LINE,,CofC,NGH,SF,3,272,CofC_SF03_0272,9,D,4,Y,,,,DIED,Y,SF05,,,
SALK_022035C,ROOT_LINE,,CofC,NGH,SF,3,319,CofC_SF03_0319,10,H,3,Y,,,,DIED,Y,SF05,,,
SALK_135920C,ROOT_LINE,,CofC,NGH,SF,3,16,CofC_SF03_0016,1,D,4,Y,20,9/13/2012,,,,,,,
SALK_010693C,ROOT_LINE,,CofC,NGH,SF,3,18,CofC_SF03_0018,1,E,2,N,,,,DNG,Y,SF05,,,
SALK_141473C,ROOT_LINE,,CofC,NGH,SF,3,37,CofC_SF03_0037,2,B,1,N,,,,DNG,Y,SF05,,,
SALK_027577C,ROOT_LINE,,CofC,NGH,SF,3,71,CofC_SF03_0071,3,B,3,Y,56,8/29/2012,,,,,,,
SALK_021691C,ROOT_LINE,,CofC,NGH,SF,3,74,CofC_SF03_0074,3,C,2,Y,21,8/28/2012,,,,,,,
SALK_109449C,ROOT_LINE,,CofC,NGH,SF,3,76,CofC_SF03_0076,3,C,4,Y,35,8/29/2012,,,,,,,
SALK_046781C,ROOT_LINE,,CofC,NGH,SF,3,78,CofC_SF03_0078,3,D,2,N,24,8/29/2012,No germ data, fruits collected?,DNG,Y,SF07,Refarm incase plant result of seed contamination,
SALK_099843C,ROOT_LINE,,CofC,NGH,SF,3,80,CofC_SF03_0080,3,D,4,Y,27,8/29/2012,,,,,,,
SALK_048558C,ROOT_LINE,,CofC,NGH,SF,3,84,CofC_SF03_0084,3,E,4,N,,,,DNG,Y,SF05,,,
SALK_116061C,ROOT_LINE,,CofC,NGH,SF,3,87,CofC_SF03_0087,3,F,3,N,,,,DNG,Y,SF05,,,
SALK_118043C,ROOT_LINE,,CofC,NGH,SF,3,91,CofC_SF03_0091,3,G,3,Y,28,8/29/2012,,,,,,,
SALK_057987C,ROOT_LINE,,CofC,NGH,SF,3,92,CofC_SF03_0092,3,G,4,N,,,,DNG,Y,SF05,,,
SALK_122916C,ROOT_LINE,,CofC,NGH,SF,3,108,CofC_SF03_0108,4,C,4,N,,,,DNG,Y,,*Could not find for SF05,,
SALK_138692C,ROOT_LINE,,CofC,NGH,SF,3,109,CofC_SF03_0109,4,D,1,N,,,,DNG,Y,SF05,,,
SALK_151603C,ROOT_LINE,,CofC,NGH,SF,3,111,CofC_SF03_0111,4,D,3,Y,32,8/29/2012,,,,,,,
SALK_011194C,ROOT_LINE,,CofC,NGH,SF,3,118,CofC_SF03_0118,4,F,2,N,,,,DNG,Y,SF05,,,
SALK_040051C,ROOT_LINE,,CofC,NGH,SF,3,134,CofC_SF03_0134,5,B,2,Y,25,8/29/2012,,,,,,,
SALK_103707C,ROOT_LINE,,CofC,NGH,SF,3,135,CofC_SF03_0135,5,B,3,Y,24,8/29/2012,,,,,,,
SALK_054167C,ROOT_LINE,,CofC,NGH,SF,3,143,CofC_SF03_0143,5,D,3,N,,,,DNG,Y,SF05,,,
SALK_123484C,ROOT_LINE,,CofC,NGH,SF,3,144,CofC_SF03_0144,5,D,4,N,,,,DNG,Y,SF05,,,
SALK_107245C,ROOT_LINE,,CofC,NGH,SF,3,146,CofC_SF03_0146,5,E,2,Y,21,8/29/2012,,,,,,,
SALK_083697C,ROOT_LINE,,CofC,NGH,SF,3,148,CofC_SF03_0148,5,E,4,Y,23,8/29/2012,,,,,,,
SALK_105495C,ROOT_LINE,,CofC,NGH,SF,3,170,CofC_SF03_0170,6,C,2,Y,27,8/28/2012,,,,,,,
SALK_094291C,ROOT_LINE,,CofC,NGH,SF,3,174,CofC_SF03_0174,6,D,2,N,,,,DNG,Y,,*Could not find for SF05,,
SALK_077684C,ROOT_LINE,,CofC,NGH,SF,3,183,CofC_SF03_0183,6,F,3,N,,,,DNG,Y,SF05,,,
SALK_064018C,ROOT_LINE,,CofC,NGH,SF,3,185,CofC_SF03_0185,6,G,1,Y,>30,8/28/2012,10 fruits added to an envelope containing >20 fruit although no prior harvesting was recorded,,,,,,
SALK_112078C,ROOT_LINE,,CofC,NGH,SF,3,207,CofC_SF03_0207,7,D,3,N,,,,DNG,Y,SF05,,,
SALK_079193C,ROOT_LINE,,CofC,NGH,SF,3,210,CofC_SF03_0210,7,E,2,N,,,,DNG,Y,SF05,,,
SALK_043857C,ROOT_LINE,,CofC,NGH,SF,3,211,CofC_SF03_0211,7,E,3,N,,,,DNG,Y,SF05,,,
SALK_113460C,ROOT_LINE,,CofC,NGH,SF,3,242,CofC_SF03_0242,8,E,2,Y,24,8/30/2012,,,,SF05,Not sure why these were selected for refarming - made sufficient fruits,,
SALK_048970C,ROOT_LINE,,CofC,NGH,SF,3,243,CofC_SF03_0243,8,E,3,N,,,,DNG,Y,SF05,,,
SALK_147277C,ROOT_LINE,,CofC,NGH,SF,3,251,CofC_SF03_0251,8,G,3,Y,26,8/30/2012,,,,,,,
SALK_020109C,ROOT_LINE,,CofC,NGH,SF,3,257,CofC_SF03_0257,9,A,1,N,,,,DNG,Y,,*Could not find for SF05,,
SALK_001669C,ROOT_LINE,,CofC,NGH,SF,3,262,CofC_SF03_0262,9,B,2,N,,,,DNG,Y,SF05,,,
SALK_048175C,ROOT_LINE,,CofC,NGH,SF,3,269,CofC_SF03_0269,9,D,1,N,,,,DNG,Y,SF05,,,
SALK_122512C,ROOT_LINE,,CofC,NGH,SF,3,277,CofC_SF03_0277,9,F,1,N,23,8/30/2012,No germ data, fruits collected?,DNG,Y,SF07,Refarm incase plant result of seed contamination,
SALK_020355C,ROOT_LINE,,CofC,NGH,SF,3,278,CofC_SF03_0278,9,F,2,Y,26,8/30/2012,,,,,,,
SALK_146738C,ROOT_LINE,,CofC,NGH,SF,3,293,CofC_SF03_0293,10,B,1,Y,29,8/30/2012,,,,,,,
SALK_006744C,ROOT_LINE,,CofC,NGH,SF,3,316,CofC_SF03_0316,10,G,4,Y,26,8/23/2012,,,,,,,
SALK_138256C,ROOT_LINE,,CofC,NGH,SF,3,320,CofC_SF03_0320,10,H,4,Y,22,8/23/2012,,,,,,,
