accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,phyt_ttlgdfr,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_012362C,SF03_REFARM,,CofC,NGH,SF,6,197,CofC_SF06_0197,7,B,1,Y,48,1/23/2013,,,,,,
SALK_037675C,RAND_BIN_LINE,,CofC,NGH,SF,6,198,CofC_SF06_0198,7,B,2,Y,14,1/23/2013,,,,,,
SALK_010462C,SF03_REFARM,,CofC,NGH,SF,6,199,CofC_SF06_0199,7,B,3,Y,16,1/23/2013,,,,,,
SALK_037143C,RAND_BIN_LINE,,CofC,NGH,SF,6,200,CofC_SF06_0200,7,B,4,N,,,,DNG,,Y,SF07,
SALK_041461C,RAND_BIN_LINE,,CofC,NGH,SF,6,201,CofC_SF06_0201,7,C,1,Y,18,1/23/2013,,,,,,
SALK_037412C,RAND_BIN_LINE,,CofC,NGH,SF,6,202,CofC_SF06_0202,7,C,2,Y,25,1/23/2013,,,,,,
SALK_038262C,RAND_BIN_LINE,,CofC,NGH,SF,6,203,CofC_SF06_0203,7,C,3,Y,14,1/23/2013,,,,,,
SALK_038272C,RAND_BIN_LINE,,CofC,NGH,SF,6,204,CofC_SF06_0204,7,C,4,Y,17,1/9/2013,,,,,,
SALK_012273C,SF03_REFARM,,CofC,NGH,SF,6,205,CofC_SF06_0205,7,D,1,N,,,,DNG,,N,,*Second farming fail
SALK_040299C,RAND_BIN_LINE,,CofC,NGH,SF,6,206,CofC_SF06_0206,7,D,2,Y,15,1/23/2013,,,,,,
SALK_038527C,RAND_BIN_LINE,,CofC,NGH,SF,6,207,CofC_SF06_0207,7,D,3,N,,,,DNG,,Y,SF07,
SALK_038240C,RAND_BIN_LINE,,CofC,NGH,SF,6,208,CofC_SF06_0208,7,D,4,Y,22,1/23/2013,,,,,,
SALK_010159C,SF03_REFARM,,CofC,NGH,SF,6,209,CofC_SF06_0209,7,E,1,Y,19,1/9/2013,,,,,,
SALK_024455C,SF04_REFARM,,CofC,NGH,SF,6,210,CofC_SF06_0210,7,E,2,Y,,,,DIED,,Y,SF08,
SALK_039423C,RAND_BIN_LINE,,CofC,NGH,SF,6,211,CofC_SF06_0211,7,E,3,Y,19,1/23/2013,,,,,,
SALK_024756C,SF04_REFARM,,CofC,NGH,SF,6,212,CofC_SF06_0212,7,E,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_041897C,RAND_BIN_LINE,,CofC,NGH,SF,6,213,CofC_SF06_0213,7,F,1,Y,16,1/9/2013,,,accidentally cut off branch 2/20,,,
SALK_041305C,RAND_BIN_LINE,,CofC,NGH,SF,6,214,CofC_SF06_0214,7,F,2,N,,,,DNG,,Y,SF07,
CS22633,PHYTOMETER,,CofC,NGH,SF,6,215,CofC_SF06_0215,7,F,3,Y,23,,24,,,,,
SALK_038271C,RAND_BIN_LINE,,CofC,NGH,SF,6,216,CofC_SF06_0216,7,F,4,Y,23,1/23/2013,,,,,,
CS22635,PHYTOMETER,,CofC,NGH,SF,6,217,CofC_SF06_0217,7,G,1,Y,19,,36,,,,,
SALK_039529C,RAND_BIN_LINE,,CofC,NGH,SF,6,218,CofC_SF06_0218,7,G,2,Y,22,1/9/2013,,,,,,
SALK_039309C,RAND_BIN_LINE,,CofC,NGH,SF,6,219,CofC_SF06_0219,7,G,3,Y,19,1/9/2013,,,,,,
SALK_041452C,RAND_BIN_LINE,,CofC,NGH,SF,6,220,CofC_SF06_0220,7,G,4,Y,20,1/9/2013,,,,,,
SALK_021867C,SF04_REFARM,,CofC,NGH,SF,6,221,CofC_SF06_0221,7,H,1,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039048C,RAND_BIN_LINE,,CofC,NGH,SF,6,222,CofC_SF06_0222,7,H,2,Y,24,1/9/2013,,,,,,
CS22659,PHYTOMETER,,CofC,NGH,SF,6,223,CofC_SF06_0223,7,H,3,N,,,,DNG,,NA,,
SALK_040096C,RAND_BIN_LINE,,CofC,NGH,SF,6,224,CofC_SF06_0224,7,H,4,Y,28,1/9/2013,,,,,,
SALK_039456C,RAND_BIN_LINE,,CofC,NGH,SF,6,225,CofC_SF06_0225,8,A,1,Y,12,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_041756C,RAND_BIN_LINE,,CofC,NGH,SF,6,226,CofC_SF06_0226,8,A,2,Y,16,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_037272C,RAND_BIN_LINE,,CofC,NGH,SF,6,227,CofC_SF06_0227,8,A,3,Y,16,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_040478C,RAND_BIN_LINE,,CofC,NGH,SF,6,228,CofC_SF06_0228,8,A,4,N,,,,DNG,,Y,SF07,
SALK_041048C,RAND_BIN_LINE,,CofC,NGH,SF,6,229,CofC_SF06_0229,8,B,1,Y,18,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_040508C,RAND_BIN_LINE,,CofC,NGH,SF,6,230,CofC_SF06_0230,8,B,2,Y,24,1/29/2013,,,,,,
SALK_037753C,RAND_BIN_LINE,,CofC,NGH,SF,6,231,CofC_SF06_0231,8,B,3,N,,,,DNG,,Y,SF07,
SALK_039537C,RAND_BIN_LINE,,CofC,NGH,SF,6,232,CofC_SF06_0232,8,B,4,Y,23,1/29/2013,,,,,,
SALK_039004C,RAND_BIN_LINE,,CofC,NGH,SF,6,233,CofC_SF06_0233,8,C,1,Y,16,1/29/2013,,,,,,
SALK_037490C,RAND_BIN_LINE,,CofC,NGH,SF,6,234,CofC_SF06_0234,8,C,2,N,,,,DNG,,Y,SF07,
SALK_010330C,SF03_REFARM,,CofC,NGH,SF,6,235,CofC_SF06_0235,8,C,3,Y,17,1/29/2013,,,,,,
CS22636,PHYTOMETER,,CofC,NGH,SF,6,236,CofC_SF06_0236,8,C,4,Y,19,,30,,,,,
SALK_040904C,RAND_BIN_LINE,,CofC,NGH,SF,6,237,CofC_SF06_0237,8,D,1,N,,,,DNG,,Y,SF07,
SALK_023198C,SF04_REFARM,,CofC,NGH,SF,6,238,CofC_SF06_0238,8,D,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_038309C,RAND_BIN_LINE,,CofC,NGH,SF,6,239,CofC_SF06_0239,8,D,3,Y,26,1/29/2013,,,,,,
SALK_038434C,RAND_BIN_LINE,,CofC,NGH,SF,6,240,CofC_SF06_0240,8,D,4,Y,18,1/29/2013,,,,,,
SALK_012617C,SF03_REFARM,,CofC,NGH,SF,6,241,CofC_SF06_0241,8,E,1,N,,,,DNG,,N,,*Second farming fail
CS22647,PHYTOMETER,,CofC,NGH,SF,6,242,CofC_SF06_0242,8,E,2,Y,37,,44,,,,,
SALK_010673C,SF03_REFARM,,CofC,NGH,SF,6,243,CofC_SF06_0243,8,E,3,Y,23,1/29/2013,,,,,,
SALK_038425C,RAND_BIN_LINE,,CofC,NGH,SF,6,244,CofC_SF06_0244,8,E,4,Y,23,1/29/2013,,,,,,
SALK_012363C,SF03_REFARM,,CofC,NGH,SF,6,245,CofC_SF06_0245,8,F,1,N,,,,DNG,,N,,*Second farming fail
SALK_009967C,SF03_REFARM,,CofC,NGH,SF,6,246,CofC_SF06_0246,8,F,2,Y,24,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_039518C,RAND_BIN_LINE,,CofC,NGH,SF,6,247,CofC_SF06_0247,8,F,3,N,,,,DNG,,Y,SF07,
SALK_022224C,SF04_REFARM,,CofC,NGH,SF,6,248,CofC_SF06_0248,8,F,4,N,,,,DNG,,N,,SECOND FARM FAIL
CS22618,PHYTOMETER,,CofC,NGH,SF,6,249,CofC_SF06_0249,8,G,1,Y,35,,42,,"very small internode, small fruits",,,
SALK_038812C,RAND_BIN_LINE,,CofC,NGH,SF,6,250,CofC_SF06_0250,8,G,2,Y,15,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
CS22658,PHYTOMETER,,CofC,NGH,SF,6,251,CofC_SF06_0251,8,G,3,Y,24,,42,,,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,6,252,CofC_SF06_0252,8,G,4,N,,,,DNG,,NA,,
CS22596,PHYTOMETER,,CofC,NGH,SF,6,253,CofC_SF06_0253,8,H,1,Y,31,,40,,,,,
SALK_040054C,RAND_BIN_LINE,,CofC,NGH,SF,6,254,CofC_SF06_0254,8,H,2,N,,,,DNG,,Y,SF07,
SALK_012485C,SF03_REFARM,,CofC,NGH,SF,6,255,CofC_SF06_0255,8,H,3,N,,,,DNG,,N,,*Second farming fail
SALK_025038C,SF04_REFARM,,CofC,NGH,SF,6,256,CofC_SF06_0256,8,H,4,Y,18,1/29/2013,,,,,,
SALK_038214C,RAND_BIN_LINE,,CofC,NGH,SF,6,257,CofC_SF06_0257,9,A,1,Y,23,1/29/2013,,,,,,
SALK_041860C,RAND_BIN_LINE,,CofC,NGH,SF,6,258,CofC_SF06_0258,9,A,2,Y,19,2/20/2013,,,,,,
CS22617,PHYTOMETER,,CofC,NGH,SF,6,259,CofC_SF06_0259,9,A,3,Y,23,,47,,,,,
SALK_037231C,RAND_BIN_LINE,,CofC,NGH,SF,6,260,CofC_SF06_0260,9,A,4,N,,,,DNG,,Y,SF07,
SALK_041743C,RAND_BIN_LINE,,CofC,NGH,SF,6,261,CofC_SF06_0261,9,B,1,Y,24,1/29/2013,,,,,,
SALK_039249C,RAND_BIN_LINE,,CofC,NGH,SF,6,262,CofC_SF06_0262,9,B,2,N,,,,DNG,,Y,SF07,
SALK_038360C,RAND_BIN_LINE,,CofC,NGH,SF,6,263,CofC_SF06_0263,9,B,3,Y,40,1/29/2013,,,,,,
SALK_038846C,RAND_BIN_LINE,,CofC,NGH,SF,6,264,CofC_SF06_0264,9,B,4,N,,,,DNG,,Y,SF07,
SALK_037680C,RAND_BIN_LINE,,CofC,NGH,SF,6,265,CofC_SF06_0265,9,C,1,Y,36,1/29/2013,,,,,,
SALK_037407C,RAND_BIN_LINE,,CofC,NGH,SF,6,266,CofC_SF06_0266,9,C,2,Y,14,1/29/2013,,,,,,
SALK_040272C,RAND_BIN_LINE,,CofC,NGH,SF,6,267,CofC_SF06_0267,9,C,3,Y,23,1/29/2013,,,,,,
SALK_027182C,SF04_REFARM,,CofC,NGH,SF,6,268,CofC_SF06_0268,9,C,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_038980C,RAND_BIN_LINE,,CofC,NGH,SF,6,269,CofC_SF06_0269,9,D,1,Y,23,1/29/2013,,,,,,
SALK_040537C,RAND_BIN_LINE,,CofC,NGH,SF,6,270,CofC_SF06_0270,9,D,2,Y,21,2/20/2013,,,,,,
SALK_038471C,RAND_BIN_LINE,,CofC,NGH,SF,6,271,CofC_SF06_0271,9,D,3,N,,,,DNG,,Y,SF07,
SALK_039680C,RAND_BIN_LINE,,CofC,NGH,SF,6,272,CofC_SF06_0272,9,D,4,N,,,,DNG,,Y,SF07,
SALK_037079C,RAND_BIN_LINE,,CofC,NGH,SF,6,273,CofC_SF06_0273,9,E,1,Y,24,1/29/2013,,,,,,
SALK_023872C,SF04_REFARM,,CofC,NGH,SF,6,274,CofC_SF06_0274,9,E,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_038907C,RAND_BIN_LINE,,CofC,NGH,SF,6,275,CofC_SF06_0275,9,E,3,Y,28,1/29/2013,,,,,,
SALK_041175C,RAND_BIN_LINE,,CofC,NGH,SF,6,276,CofC_SF06_0276,9,E,4,Y,24,1/29/2013,,,,,,
SALK_010288C,SF03_REFARM,,CofC,NGH,SF,6,277,CofC_SF06_0277,9,F,1,Y,28,1/29/2013,,,,,,
SALK_040620C,RAND_BIN_LINE,,CofC,NGH,SF,6,278,CofC_SF06_0278,9,F,2,Y,19,1/29/2013,,,,,,
SALK_041067C,RAND_BIN_LINE,,CofC,NGH,SF,6,279,CofC_SF06_0279,9,F,3,Y,24,1/29/2013,,,,,,
SALK_040274C,RAND_BIN_LINE,,CofC,NGH,SF,6,280,CofC_SF06_0280,9,F,4,Y,20,1/9/2013,,,,,,
CS22659,PHYTOMETER,,CofC,NGH,SF,6,281,CofC_SF06_0281,9,G,1,Y,37,,45,,,,,
SALK_039639C,RAND_BIN_LINE,,CofC,NGH,SF,6,282,CofC_SF06_0282,9,G,2,N,,,,DNG,,Y,SF07,
CS22631,PHYTOMETER,,CofC,NGH,SF,6,283,CofC_SF06_0283,9,G,3,Y,34,,60,,,,,
SALK_040473C,RAND_BIN_LINE,,CofC,NGH,SF,6,284,CofC_SF06_0284,9,G,4,Y,14,1/9/2013,,,,,,
SALK_037392C,RAND_BIN_LINE,,CofC,NGH,SF,6,285,CofC_SF06_0285,9,H,1,N,,,,DNG,,Y,SF07,
SALK_041485C,RAND_BIN_LINE,,CofC,NGH,SF,6,286,CofC_SF06_0286,9,H,2,N,,,,DNG,,Y,SF07,
SALK_012281C,SF03_REFARM,,CofC,NGH,SF,6,287,CofC_SF06_0287,9,H,3,Y,17,1/29/2013,,,,,,
SALK_039631C,RAND_BIN_LINE,,CofC,NGH,SF,6,288,CofC_SF06_0288,9,H,4,Y,21,1/9/2013,,,,,,
SALK_026842C,SF04_REFARM,,CofC,NGH,SF,6,289,CofC_SF06_0289,10,A,1,Y,21,1/22/2013,,,accidentally cut off top of stem but all fruit already collected 2/26,,,
SALK_022998C,SF04_REFARM,,CofC,NGH,SF,6,290,CofC_SF06_0290,10,A,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_041315C,RAND_BIN_LINE,,CofC,NGH,SF,6,291,CofC_SF06_0291,10,A,3,Y,19,1/22/2013,,,,,,
SALK_039548C,RAND_BIN_LINE,,CofC,NGH,SF,6,292,CofC_SF06_0292,10,A,4,Y,17,1/22/2013,,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,6,293,CofC_SF06_0293,10,B,1,Y,18,,39,,,,,
SALK_010277C,SF03_REFARM,,CofC,NGH,SF,6,294,CofC_SF06_0294,10,B,2,N,,,,DNG,,N,,*Second farming fail
SALK_038366C,RAND_BIN_LINE,,CofC,NGH,SF,6,295,CofC_SF06_0295,10,B,3,Y,22,2/26/2013,,,,,,
SALK_039244C,RAND_BIN_LINE,,CofC,NGH,SF,6,296,CofC_SF06_0296,10,B,4,Y,12,2/26/2013,,,,,,
SALK_039196C,RAND_BIN_LINE,,CofC,NGH,SF,6,297,CofC_SF06_0297,10,C,1,Y,19,1/22/2013,,,,,,
SALK_026283C,SF04_REFARM,,CofC,NGH,SF,6,298,CofC_SF06_0298,10,C,2,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_024911C,SF04_REFARM,,CofC,NGH,SF,6,299,CofC_SF06_0299,10,C,3,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_039205C,RAND_BIN_LINE,,CofC,NGH,SF,6,300,CofC_SF06_0300,10,C,4,Y,14,1/22/2013,,,,,,
SALK_041355C,RAND_BIN_LINE,,CofC,NGH,SF,6,301,CofC_SF06_0301,10,D,1,N,,,,DNG,,Y,SF07,
SALK_038767C,RAND_BIN_LINE,,CofC,NGH,SF,6,302,CofC_SF06_0302,10,D,2,Y,16,1/22/2013,,,,,,
SALK_037563C,RAND_BIN_LINE,,CofC,NGH,SF,6,303,CofC_SF06_0303,10,D,3,Y,21,1/22/2013,,,,,,
SALK_023758C,SF04_REFARM,,CofC,NGH,SF,6,304,CofC_SF06_0304,10,D,4,Y,20,1/22/2013,,,,,,
SALK_038772C,RAND_BIN_LINE,,CofC,NGH,SF,6,305,CofC_SF06_0305,10,E,1,Y,13,1/22/2013,,,,,,
CS22652,PHYTOMETER,,CofC,NGH,SF,6,306,CofC_SF06_0306,10,E,2,Y,26,,30,,,,,
SALK_039888C,RAND_BIN_LINE,,CofC,NGH,SF,6,307,CofC_SF06_0307,10,E,3,Y,23,1/22/2013,,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,6,308,CofC_SF06_0308,10,E,4,Y,26,,49,,,,,
SALK_037581C,RAND_BIN_LINE,,CofC,NGH,SF,6,309,CofC_SF06_0309,10,F,1,Y,15,1/22/2013,,,,,,
SALK_041291C,RAND_BIN_LINE,,CofC,NGH,SF,6,310,CofC_SF06_0310,10,F,2,Y,20,1/22/2013,,,,,,
SALK_010345C,SF03_REFARM,,CofC,NGH,SF,6,311,CofC_SF06_0311,10,F,3,Y,,,,DIED,,,,
SALK_023251C,SF04_REFARM,,CofC,NGH,SF,6,312,CofC_SF06_0312,10,F,4,N,,,,DNG,,N,,SECOND FARM FAIL
SALK_041356C,RAND_BIN_LINE,,CofC,NGH,SF,6,313,CofC_SF06_0313,10,G,1,Y,32,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_010280C,SF03_REFARM,,CofC,NGH,SF,6,314,CofC_SF06_0314,10,G,2,Y,13,1/22/2013,,,,,,
SALK_041270C,RAND_BIN_LINE,,CofC,NGH,SF,6,315,CofC_SF06_0315,10,G,3,Y,12,2/26/2013,,,,,,
SALK_037784C,RAND_BIN_LINE,,CofC,NGH,SF,6,316,CofC_SF06_0316,10,G,4,N,,,,DNG,,Y,SF07,
SALK_040658C,RAND_BIN_LINE,,CofC,NGH,SF,6,317,CofC_SF06_0317,10,H,1,N,,,,DNG,,Y,SF07,
SALK_038514C,RAND_BIN_LINE,,CofC,NGH,SF,6,318,CofC_SF06_0318,10,H,2,Y,14,2/26/2013,,,,,,
SALK_009950C,SF03_REFARM,,CofC,NGH,SF,6,319,CofC_SF06_0319,10,H,3,Y,25,1/22/2013,,,"2 leaves taken from plant (one tissue sample was disposed of, and another sample was required)",,,
SALK_039116C,RAND_BIN_LINE,,CofC,NGH,SF,6,320,CofC_SF06_0320,10,H,4,N,,,,DNG,,Y,SF07,
